review_id,product_id,customer_id,rating,review_title,review_text,review_date,helpful_votes,verified_purchase,sentiment,word_count
da19a07b-3426-46c6-8690-cc65d63317ec,459e93d4-efd2-4566-b95a-0272d34b9996,33e43d2a-e10a-4e91-a060-3f8460368028,3,Switchable composite forecast,Memory find feeling small. It's okay. Heavy whole protect he later hospital investment.,2023-10-06,71,True,neutral,13
60bb9203-0e4d-442d-9b7e-363bffffdbc7,489612dc-2fdc-4094-ae11-396ae6f625a3,d7419240-c6aa-4cc9-ae25-7b18e9b6087f,2,Balanced mobile complexity,If century better perform physical beautiful. Not satisfied with the quality. Improve security from itself lead.,2024-06-30,28,False,negative,16
28654259-280b-4fa0-a5dd-745e072c05f0,a3283b94-38f4-4a7c-ac5e-f4e67a015a22,b69fed2a-f258-4ad7-9c2a-7b24651bc6e4,5,Switchable user-facing capacity,Serious until program including Republican include wall. Great product! Recognize in realize sea whatever pick indicate.,2025-02-19,29,False,positive,16
e88c1fc4-b7c1-4c65-89bb-80f74558a900,459e93d4-efd2-4566-b95a-0272d34b9996,4d1eeca2-18ab-4f70-ac35-27652f11f76f,1,Progressive scalable archive,Technology old effort until risk. Not satisfied with the quality. Entire energy world lay.,2023-07-21,88,False,negative,14
64cccf09-59c8-4514-9da9-a45cbfac69ec,459e93d4-efd2-4566-b95a-0272d34b9996,7bb9a558-f82d-4334-aaf0-501cc3a374d2,3,Advanced global core,Toward future population mention audience no data point. It's okay. Make actually place.,2025-02-24,97,True,neutral,13
f3427703-8c29-499e-9e2a-615efe8cad92,bd32068f-b47f-4993-b1ea-aaf05d5b8853,bdc15eef-6aac-47f4-9d33-98309ad911b5,2,Re-engineered background architecture,Mouth foreign out. Not satisfied with the quality. Myself history however I consumer.,2023-08-03,29,False,negative,13
63808063-ee87-47e5-9900-d47244970210,1f1ebefb-4ac0-48d7-a952-d25cd9c4ba7a,a2cc3129-67e0-42e0-a561-353f130a50a0,2,Stand-alone systematic attitude,Add my travel kid grow. Not satisfied with the quality. Defense realize shake value area fast.,2023-11-27,14,False,negative,16
83d2b28e-c8fa-41ce-8a6e-4641034be7cf,6d3f2548-114b-40ca-8df5-cf581433174b,8fd9139a-83d6-4725-8515-8c96c952e291,3,Adaptive foreground projection,However foreign moment. It's okay. Of information picture sell successful.,2024-06-16,23,False,neutral,10
372b5a14-d3aa-45cc-910f-c3d375b580e8,0601c3b8-bcaf-4d71-a6e0-a3b0b0afcffb,c21df960-992e-4ba3-9997-2e5d89d8afdd,2,Digitized logistical open system,Yet quite mission represent growth. Not satisfied with the quality. Site support college shake during.,2024-11-17,25,True,negative,15
c431af91-132f-4855-a553-fc2921d9bb71,373e492a-d16a-45ce-9d73-91555d78231b,cb123253-5a41-4422-b33c-514d46f9e321,3,Synergistic leadingedge productivity,Prove series stock rather from true. It's okay. Age teacher join speech present which option over.,2024-07-15,76,True,neutral,16
